Posted Date,Reference Number,Payee,Address,Amount
12/05/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-583.94
12/04/2024,24055224339170900693352,"CITY OF NEWTON NEWTON CENTREMA","NEWTON CENTRE MA ",-18.50
12/04/2024,24445004339600291957516,"City of Newton, MA 704-817-2500 NC","704-817-2500  NC ",-0.72
12/03/2024,                       ,"LATE FEE FOR PAYMENT DUE","",-28.00
12/02/2024,24204294336002175080070,"Google One 650-2530000 CA","650-2530000   CA ",-21.24
11/30/2024,24011344335500010154478,"SP GLADE OPTICS SHOPGLADE.COMCO","SHOPGLADE.COM CO ",-168.49
11/30/2024,24492164335500005873736,"WABANPHOTO* O-39056698 WABANPHOTO.COMA","WABANPHOTO.CO MA ",-35.86
11/30/2024,74083424335500005415288,"SP LAPHONT MTL MONTREAL QC","MONTREAL      QC ",-90.00
11/30/2024,24793384335002235604064,"Le Creuset of America, InEarly Branch SC","Early Branch  SC ",-297.49
11/29/2024,24036294333714039969267,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.98
11/29/2024,24036294332742901936529,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-24.58
11/27/2024,24388864332056308201997,"Patreon* Membership Internet CA","Internet      CA ",-10.88
11/27/2024,24036294332712839741390,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-5.83
11/27/2024,24064664332500000307664,"ADVANTAGE YOU ADVANTAGEYOU.CO","ADVANTAGEYOU. CO ",-65.00
11/27/2024,24204294331001959367054,"eBay O*14-12368-97201 408-3766151 CA","408-3766151   CA ",-99.05
11/26/2024,24036294331712724518771,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-38.84
11/26/2024,24036294330712642454969,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-63.68
11/25/2024,24036294330716545998030,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-22.33
11/25/2024,24692164330101505985774,"SQ *DOWNHILL DUKE'S Copper MountaCO","Copper Mounta CO ",-5.35
11/25/2024,24692164329101322407591,"SQ *AERIE FORAGE & FEAST Copper MountaCO","Copper Mounta CO ",-30.33
11/25/2024,24011344330500004744693,"LENNYS NEWSLETTER LENNYSNEWSLETCA","LENNYSNEWSLET CA ",-15.00
11/25/2024,24000774329000007331113,"YOGA BOX HIGHLANDS WWW.YOGABOX.CCO","WWW.YOGABOX.C CO ",-99.00
11/23/2024,24036294328716189647376,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
11/23/2024,24036294328714233370905,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-21.05
11/23/2024,24036294328712233817149,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-5.65
11/23/2024,24036294327716099008538,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-12.71
11/23/2024,24906414327214693918204,"ABC*LOHI ATHLETIC CLUB 303-7615644 CO","303-7615644   CO ",-99.00
11/22/2024,24036294327718037658416,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.88
11/22/2024,24492164327000007835437,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-50.00
11/22/2024,24011344327500013058783,"CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","ANTHROPIC.COM CA ",-20.96
11/21/2024,24000774326000006581000,"YOGA BOX HIGHLANDS WWW.YOGABOX.CCO","WWW.YOGABOX.C CO ",-10.00
11/21/2024,24492164326000007656867,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-160.00
