Posted Date,Reference Number,Payee,Address,Amount
11/05/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-482.52
11/05/2024,24492164310000005373133,"SP BAN.DO HTTPSWWW.BANDKY","HTTPSWWW.BAND KY ",-32.60
11/04/2024,24036294309744247213984,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-41.74
11/04/2024,24036294308744140857748,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-18.98
11/04/2024,24036294308742100061293,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-27.43
11/04/2024,24692164307101827531495,"UNITED 0162432949459UNITED.COM TX","UNITED.COM    TX ",-424.78
11/04/2024,24692164307101617108579,"BLD*REFINED PROPERTY MANA720-737-1373 CO","720-737-1373  CO ",-2911.26
11/02/2024,24011344307000046641188,"ADVANTAGE YOU ADVANTAGEYOU.CO","ADVANTAGEYOU. CO ",-65.00
11/02/2024,24692164306100871832297,"GOOGLE *Google One 855-836-3987 CA","855-836-3987  CA ",-10.61
11/01/2024,30683204320110100052074,"PAYMENT - THANK YOU","",1000.00
11/01/2024,24137464305100341323230,"TST* GLO NOODLE HOUSE 303-993-4180 CO","303-993-4180  CO ",-53.60
11/01/2024,24492164305000013069852,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-160.00
10/31/2024,24036294304712548266808,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-15.96
10/31/2024,24011344305000000235367,"SP BLUEPRINT.BRYANJOHN HTTPSBLUEPRINCA","HTTPSBLUEPRIN CA ",-201.60
10/30/2024,24011344304000018789273,"SP VEGAMOUR HTTPSVEGAMOURCA","HTTPSVEGAMOUR CA ",-97.01
10/28/2024,24036294302742174160985,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-61.95
10/28/2024,24036294301712037609495,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-67.65
10/28/2024,24388864301049886365000,"Patreon* Membership Internet CA","Internet      CA ",-10.88
10/28/2024,24036294300716935833199,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-6.39
10/28/2024,24036294300716937650930,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-10.82
10/28/2024,24036294300718873941257,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-31.95
10/26/2024,24036294299718795061922,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-23.24
10/26/2024,24036294299716765823651,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-59.75
10/26/2024,24036294299716788609079,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-16.95
10/25/2024,24492164299000014577141,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-50.00
10/25/2024,24275394298900019636452,"YOGA BOX DENVER 303-2239896 CO","303-2239896   CO ",-99.00
10/25/2024,24011344299000011100111,"LENNYS NEWSLETTER HTTPSWWW.LENNCA","HTTPSWWW.LENN CA ",-15.00
