Posted Date,Reference Number,Payee,Address,Amount
10/05/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-449.33
10/05/2024,24036294279718564333258,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-21.99
10/05/2024,24011344279000039948339,"LEMSQZY* SUPERWHISPERA HTTPSWWW.LEMOUT","HTTPSWWW.LEMO UT ",-64.95
10/04/2024,24492164278000014411700,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-50.00
10/04/2024,24036294277718362620221,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-27.03
10/03/2024,24036294277744254693795,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-4.00
10/03/2024,24036294276716208569314,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-31.24
10/02/2024,24036294276714113336291,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-16.95
10/02/2024,24492164276000016237626,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-160.00
10/02/2024,24036294275742036543900,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-6.93
10/01/2024,24036294275712936944490,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-50.07
09/30/2024,27483204320093000052063,"PAYMENT - THANK YOU","",3000.00
09/30/2024,24036294274712742453737,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-23.16
09/30/2024,24000774272000018985029,"PROPER CLOTH HTTPSPROPERCLNY","HTTPSPROPERCL NY ",239.20
09/28/2024,24036294272714383522996,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-23.19
09/28/2024,24692164271102732155208,"GOOGLE *Google One 855-836-3987 CA","855-836-3987  CA ",-10.61
09/27/2024,24492164271000014735824,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-50.00
09/27/2024,24388864271043902076796,"Patreon* Membership Internet CA","Internet      CA ",-10.88
09/26/2024,24036294270714079075202,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-24.04
09/26/2024,24036294269712964515244,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-34.67
09/25/2024,24036294269712902130916,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
09/25/2024,24275394268900016653845,"YOGA BOX DENVER 303-2239896 CO","303-2239896   CO ",-99.00
09/25/2024,24011344269000010518830,"LENNYS NEWSLETTER HTTPSWWW.LENNCA","HTTPSWWW.LENN CA ",-15.00
09/25/2024,24036294268712889546432,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-25.69
09/25/2024,24492164268000022123380,"SOFAR SOUNDS SOFARSOUNDS.CMA","SOFARSOUNDS.C MA ",-54.00
09/24/2024,24492154267715670740894,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-16.62
09/23/2024,24492154267717608054950,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-18.78
09/23/2024,24492154266743581479544,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-4.11
09/23/2024,24906414266209690448422,"ABC*LOHI ATHLETIC CLUB 303-7615644 CO","303-7615644   CO ",-99.00
09/23/2024,24011344266000054394885,"CLAUDE.AI SUBSCRIPTION HTTPSWWW.ANTHCA","HTTPSWWW.ANTH CA ",-20.96
09/23/2024,24492154266717444757213,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-38.63
09/23/2024,24000774265000010555597,"READWISE HTTPSREADWISENC","HTTPSREADWISE NC ",-95.88
09/20/2024,24492164264000015079692,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-50.00
09/20/2024,24011344264000020475109,"WWW.SWEETGREEN.COM HTTPSWWW.SWEECA","HTTPSWWW.SWEE CA ",-25.69
09/20/2024,24011344264000013287446,"PADDLE.NET* KVORWOOSHY PADDLE.COM NY","PADDLE.COM    NY ",-3.49
09/20/2024,24011344263000094822021,"OTTER* MR LUCKYS SA TRYOTTER.COM CA","TRYOTTER.COM  CA ",-29.44
09/20/2024,24492154263745014504536,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-20.57
09/19/2024,26383204320091900052053,"PAYMENT - THANK YOU","",1500.00
09/19/2024,24492164263000001201202,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-160.00
09/19/2024,24492154263719930579732,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-28.44
09/19/2024,24011344263000016814783,"ADVANTAGE YOU ADVANTAGEYOU.CO","ADVANTAGEYOU. CO ",-195.00
09/19/2024,74204294263000807361076,"Wrangler 888-7848571 NC","888-7848571   NC ",70.33
09/19/2024,74204294263000806483079,"Wrangler 888-7848571 NC","888-7848571   NC ",46.40
09/19/2024,24064664262000021134662,"OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","HTTPSOPENAI.C CA ",-20.00
09/19/2024,24692164262104679535443,"ZAP*ZAPPOS.COM 800-927-7671 NV","800-927-7671  NV ",-163.51
09/18/2024,24692164261104021962304,"GOOGLE *YouTubePremium g.co/helppay#CA","g.co/helppay# CA ",-13.99
09/17/2024,24011344261000047237014,"PILLPACK LLC HTTPSWWW.PILLNH","HTTPSWWW.PILL NH ",-5.23
09/17/2024,24011344261000030602554,"NEUROGUM GETNEURO.COM CA","GETNEURO.COM  CA ",-22.89
09/17/2024,24204294260003920144070,"eBay O*05-12083-95443 San Jose CA","San Jose      CA ",-54.68
09/16/2024,24430994259089897316266,"MICROSOFT*XBOX MSBILL.INFO WA","MSBILL.INFO   WA ",-42.49
09/16/2024,24492154259743394415379,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
09/16/2024,24492154259715392891561,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-9.82
