Posted Date,Reference Number,Payee,Address,Amount
09/05/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-370.72
09/05/2024,24492164249000016955775,"SIMPLY RO DBT PLLC WWW.RODBTDENVTX","WWW.RODBTDENV TX ",-160.00
09/05/2024,24492154249743632303638,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-18.99
09/05/2024,24492154249743610472918,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-3.00
09/05/2024,24492154249713643283921,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-35.69
09/05/2024,24492154249713630720422,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-37.65
09/05/2024,24492154249713625213136,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-30.94
09/05/2024,24427334248730268863349,"MCDONALD'S F6440 GOLDEN CO","GOLDEN        CO ",-2.91
09/05/2024,24421144248900017953407,"JOYMODE 888-7615171 CA","888-7615171   CA ",-47.38
09/05/2024,24204294249001121699054,"eBay O*16-12024-23503 San Jose CA","San Jose      CA ",-80.71
09/05/2024,24492154248743597494514,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-25.14
09/05/2024,24492154248743593022335,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-7.93
09/05/2024,24492154248715598518863,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-11.75
09/05/2024,24910164248022840264302,"00601 LOHI ATHLETIC CLUB DENVER CO","DENVER        CO ",-4.50
09/05/2024,24137464248100266266133,"TST* HENRY'S PUB LOVELAND CO","LOVELAND      CO ",-35.16
09/05/2024,24492154248745561129356,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-39.66
09/04/2024,24492154248717498323063,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-44.70
